LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	One
Time_Pref	Absolute
Operator	AlunosGDS-JT
Date	2019/10/09
Time	15:19:08.4651639249999940857
***End_of_Header***	
	
Channels	2		
Samples	2048	2048	
Date	2019/10/09	2019/10/09	
Time	15:27:15.3867654874999906151	15:27:15.3867654874999906151	
Y_Unit_Label	g	Newtons	
X_Dimension	Time	Time	
X0	0.0000000000000000E+0	0.0000000000000000E+0	
Delta_X	0.000605	0.000605	
***End_of_Header***			
X_Value	Acceleration (Trigger)	Force (Trigger)	Comment
0.000000	-4.974927	0.774451
0.000605	-4.923897	-7.596248
0.001211	-4.877727	-15.977522
0.001816	-4.704591	-24.352017
0.002422	-4.484070	-32.573327
0.003027	-4.280559	-40.558758
0.003633	-4.098311	-48.360096
0.004238	-3.826153	-55.983576
0.004844	-3.562500	-63.415100
0.005449	-3.266042	-70.282414
0.006055	-3.026081	-76.837664
0.006660	-2.716866	-83.304527
0.007266	-2.302554	-88.973199
0.007871	-2.001236	-94.134326
0.008477	-1.668329	-98.978780
0.009082	-1.317196	-103.356899
0.009687	-0.875547	-107.127157
0.010293	-0.560864	-110.323987
0.010898	-0.169030	-112.928138
0.011504	0.184533	-115.026642
0.012109	0.612817	-116.502102
0.012715	0.940257	-117.279416
0.013320	1.289567	-117.577111
0.013926	1.664999	-117.168255
0.014531	1.990617	-116.059898
0.015137	2.378807	-114.525875
0.015742	2.661292	-112.408934
0.016348	2.931020	-109.490279
0.016953	3.245095	-106.077905
0.017559	3.506926	-102.160968
0.018164	3.778476	-97.679551
0.018770	4.034839	-92.736137
0.019375	4.255968	-87.293040
0.019980	4.435786	-81.361377
0.020586	4.659952	-74.998084
0.021191	4.783274	-68.316219
0.021797	4.922390	-61.223058
0.022402	5.070619	-53.943635
0.023008	5.135014	-46.073161
0.023613	5.229783	-38.059261
0.024219	5.308757	-30.110160
0.024824	5.317262	-21.803717
0.025430	5.348245	-13.348698
0.026035	5.302075	-4.904524
0.026641	5.209736	3.569745
0.027246	5.121041	12.032085
0.027852	5.031132	20.399260
0.028457	4.922998	28.605387
0.029062	4.695187	36.717976
0.029668	4.571865	44.654334
0.030273	4.298492	52.432897
0.030879	4.138114	59.670025
0.031484	3.959510	66.729837
0.032090	3.570105	73.692316
0.032695	3.282152	79.958547
0.033301	3.001489	85.777151
0.033906	2.595682	91.217807
0.034512	2.288290	96.299495
0.035117	2.021599	100.740244
0.035723	1.663784	104.676972
0.036328	1.246435	108.073621
0.036934	0.908667	110.968960
0.037539	0.561180	113.186759
0.038145	0.292667	114.800221
0.038750	-0.039633	115.955483
0.039355	-0.423570	116.376810
0.039961	-0.779563	116.117615
0.040566	-1.071768	115.526293
0.041172	-1.441733	114.267732
0.041777	-1.744265	112.286896
0.042383	-2.005489	109.733716
0.042988	-2.292226	106.649946
0.043594	-2.640929	103.043989
0.044199	-2.968976	98.856470
0.044805	-3.194357	94.123720
0.045410	-3.422776	88.986181
0.046016	-3.662129	83.337843
0.046621	-3.852882	77.245945
0.047227	-4.036954	70.696118
0.047832	-4.196117	64.020219
0.048438	-4.330981	56.686570
0.049043	-4.493790	49.155544
0.049648	-4.561830	41.542637
0.050254	-4.681506	33.539312
0.050859	-4.738611	25.380903
0.051465	-4.750761	17.108892
0.052070	-4.691834	8.717859
0.052676	-4.679076	0.280462
0.053281	-4.601924	-8.142564
0.053887	-4.518697	-16.563151
0.054492	-4.361964	-24.848175
0.055098	-4.221632	-33.069214
0.055703	-4.039991	-41.245788
0.056309	-3.919099	-48.872250
0.056914	-3.699794	-56.428492
0.057520	-3.358381	-63.873301
0.058125	-3.183422	-70.838220
0.058730	-2.926452	-77.333822
0.059336	-2.547982	-83.559926
0.059941	-2.185915	-89.331083
0.060547	-1.943524	-94.583037
0.061152	-1.605149	-99.336122
0.061758	-1.268596	-103.709632
0.062363	-0.897417	-107.400179
0.062969	-0.623436	-110.595111
0.063574	-0.229172	-113.119010
0.064180	0.114671	-115.258182
0.064785	0.459728	-116.788138
0.065391	0.858245	-117.298666
0.065996	1.126758	-117.451851
0.066602	1.458451	-117.161477
0.067207	1.817481	-116.097855
0.067812	2.079919	-114.421492
0.068418	2.415864	-112.091990
0.069023	2.711107	-109.282597
0.069629	3.006957	-105.914688
0.070234	3.266965	-101.876559
0.070840	3.500243	-97.401106
0.071445	3.755391	-92.463928
0.072051	3.939463	-86.946814
0.072656	4.138114	-80.933271
0.073262	4.344662	-74.751360
0.073867	4.508078	-67.872117
0.074473	4.717057	-60.624415
0.075078	4.784489	-53.267993
0.075684	4.986785	-45.505697
0.076289	5.061507	-37.570695
0.076895	5.118004	-29.439940
0.077500	5.110714	-21.187993
0.078105	5.160529	-12.797502
0.078711	5.146556	-4.346278
0.079316	5.121649	4.183843
0.079922	4.958840	12.590059
0.080527	4.947298	20.922259
0.081133	4.829443	29.299466
0.081738	4.736497	37.393618
0.082344	4.516583	45.095453
0.082949	4.389009	52.882151
0.083555	4.107131	60.313946
0.084160	3.810066	67.341765
0.084766	3.583470	74.068637
0.085371	3.313742	80.376078
0.085977	3.046444	86.247281
0.086582	2.737836	91.678448
0.087188	2.435911	96.618608
0.087793	2.105434	101.075354
0.088398	1.792573	105.036212
0.089004	1.446908	108.232771
0.089609	1.101851	111.100184
0.090215	0.676604	113.557115
0.090820	0.402624	115.020103
0.091426	0.056959	115.989916
0.092031	-0.270481	116.455708
0.092637	-0.634979	116.294931
0.093242	-0.948446	115.472881
