Source File Name:	Analyzer
Signal:	FFT - Ref1 PSD Force² / Frequency - Magnitude [dB]
dB-Reference:	0 dB = 1 N² / Hz
Frequency	Magnitude
[ Hz ]	[ dB ]
150.5	-83.13709
151	-76.38709
151.5	-83.33436
152	-77.73271
152.5	-78.34771
153	-82.34486
153.5	-75.94604
154	-77.69437
154.5	-75.87375
155	-79.55926
155.5	-82.74994
156	-78.13363
156.5	-80.18045
157	-78.47475
157.5	-79.39247
158	-80.19219
158.5	-79.19097
159	-82.21473
159.5	-79.63029
160	-81.56655
160.5	-80.85719
161	-78.76788
161.5	-87.17843
162	-82.38222
162.5	-85.32302
163	-78.69404
163.5	-80.99504
164	-82.58485
164.5	-78.54377
165	-82.40984
165.5	-75.58781
166	-78.82489
166.5	-80.04175
167	-79.41022
167.5	-78.14285
168	-78.76289
168.5	-79.85999
169	-75.79362
169.5	-80.49935
170	-83.81793
170.5	-82.53701
171	-80.16016
171.5	-78.51233
172	-83.29757
172.5	-76.00503
173	-81.56519
173.5	-79.92899
174	-82.49801
174.5	-79.18512
175	-76.63614
175.5	-78.26342
176	-76.48835
176.5	-73.964
177	-66.00078
177.5	-74.88097
178	-78.98573
178.5	-79.71979
179	-78.54477
179.5	-80.71644
180	-78.71832
180.5	-78.51208
181	-81.52704
181.5	-75.22697
182	-82.08585
182.5	-75.70771
183	-80.42896
183.5	-79.34586
184	-74.73318
184.5	-79.35571
185	-78.82021
185.5	-80.63808
186	-81.42053
186.5	-81.77306
187	-79.80498
187.5	-78.10628
188	-81.48843
188.5	-82.19033
189	-81.19651
189.5	-82.94841
190	-82.78798
190.5	-76.04498
191	-75.74925
191.5	-84.2394
192	-85.0741
192.5	-80.51816
193	-82.3288
193.5	-80.57034
194	-87.79852
194.5	-82.15639
195	-83.31459
195.5	-81.15791
196	-79.82231
196.5	-83.2492
197	-81.75645
197.5	-82.89975
198	-80.50417
198.5	-82.14011
199	-80.27271
199.5	-83.00412
200	-80.23907
