Source File Name:	Analyzer
Signal:	FFT - Vib & Ref1 H1 Acceleration / Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s² / N ]	[ ° ]
108.5	1.164797	-74.75195
109	1.117588	-70.14127
109.5	1.189714	-63.69233
110	1.338338	-59.95012
110.5	1.516448	-58.98059
111	1.700609	-59.65164
111.5	1.890911	-61.52197
112	2.064558	-63.96892
112.5	2.24077	-66.99026
113	2.401397	-70.27081
113.5	2.559255	-73.88653
114	2.703774	-77.79487
114.5	2.825762	-82.08799
115	2.90019	-86.51543
115.5	2.930822	-90.37251
116	2.952482	-92.66136
116.5	3.108431	-93.23912
117	3.629653	-98.26166
117.5	3.734677	-113.2559
118	3.321098	-123.0068
118.5	2.932477	-128.2605
119	2.612844	-131.2907
119.5	2.344315	-132.7984
120	2.111002	-133.2829
120.5	1.899282	-132.328
121	1.715461	-129.5883
121.5	1.582666	-124.0203
122	1.569245	-115.3235
122.5	1.77679	-108.8498
123	2.1026	-111.4106
123.5	2.243917	-120.0958
124	2.104701	-127.8078
124.5	1.909436	-131.0604
125	1.751955	-131.58
125.5	1.627832	-131.053
126	1.528536	-129.8912
126.5	1.452114	-127.9026
127	1.388663	-126.0415
127.5	1.344564	-123.5606
128	1.316654	-120.8341
128.5	1.30232	-118.2866
129	1.30652	-116.1213
129.5	1.311135	-114.3952
130	1.325929	-113.4773
130.5	1.321819	-113.1162
131	1.284448	-112.9397
131.5	1.259859	-110.8123
132	1.241487	-108.4197
132.5	1.235709	-105.9333
133	1.239418	-103.246
133.5	1.252539	-100.8634
134	1.274454	-98.53918
134.5	1.300013	-96.28915
135	1.337575	-94.35886
135.5	1.373013	-92.44681
136	1.422713	-90.66864
136.5	1.479154	-89.36977
137	1.546634	-88.37449
137.5	1.606544	-87.95671
138	1.664735	-87.70757
138.5	1.719205	-87.39518
139	1.778593	-87.23266
139.5	1.840631	-87.32699
140	1.894245	-87.42482
140.5	1.950819	-87.55872
141	2.006127	-87.77201
141.5	2.06062	-87.76901
142	2.126203	-87.93477
142.5	2.19329	-88.12856
143	2.260921	-88.5538
143.5	2.32891	-88.97659
144	2.39677	-89.46508
144.5	2.469732	-89.85029
145	2.553686	-90.11053
145.5	2.648134	-90.46075
146	2.773285	-91.25031
146.5	2.900727	-92.35085
147	3.032831	-94.04664
147.5	3.162209	-96.04261
148	3.283926	-98.44889
148.5	3.391437	-100.9845
149	3.484787	-103.9051
149.5	3.563369	-106.8806
150	3.611687	-110.01
150.5	3.645805	-112.9718
151	3.654484	-115.9647
151.5	3.653748	-118.8008
152	3.650428	-121.5973
152.5	3.630606	-124.3273
153	3.606829	-127.077
153.5	3.562815	-129.8485
154	3.514469	-132.5467
154.5	3.443909	-135.1537
155	3.371819	-137.5743
155.5	3.292633	-140.0531
156	3.219855	-142.2254
156.5	3.130657	-144.4915
157	3.037112	-146.9143
157.5	2.92605	-148.9515
158	2.813975	-150.7534
158.5	2.692386	-152.4285
159	2.582616	-153.6693
159.5	2.47378	-154.7243
160	2.364537	-155.665
160.5	2.260302	-156.2886
161	2.161279	-156.7851
161.5	2.074062	-156.9642
162	1.996327	-157.011
162.5	1.927326	-156.9878
163	1.852795	-157.1843
163.5	1.789598	-157.0533
164	1.715752	-157.028
164.5	1.64603	-156.4915
165	1.587822	-155.8082
165.5	1.534217	-155.0898
166	1.482327	-154.1495
166.5	1.437491	-153.1518
167	1.400951	-152.1632
167.5	1.370647	-150.9384
168	1.340669	-149.7113
168.5	1.317926	-148.5514
169	1.294694	-147.5048
169.5	1.277712	-146.5008
170	1.263633	-145.6235
170.5	1.245214	-144.7959
171	1.231083	-144.1967
171.5	1.216266	-143.3497
172	1.201771	-142.9177
172.5	1.181826	-142.1907
173	1.167654	-141.5
173.5	1.149016	-140.7494
174	1.137614	-139.9798
174.5	1.124585	-139.2166
175	1.11311	-138.6352
175.5	1.102928	-138.318
176	1.080967	-137.9541
176.5	1.064875	-137.3312
177	1.045226	-136.4955
177.5	1.023561	-135.7898
178	1.004942	-134.714
178.5	0.9910191	-133.5638
179	0.9797711	-132.436
179.5	0.9679776	-131.261
180	0.9639083	-130.237
180.5	0.9555162	-129.3
181	0.9490415	-128.5006
181.5	0.9420932	-127.7634
182	0.9300316	-127.1283
